multiplier,pit_transit_frac,series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,838952,HYPERCAR-15,10,10,388,86349.03824342632,37,2568.384173843402,545.6,21,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,838952,HYPERCAR-15,10,10,388,86333.60989886381,38,2554.4493027690437,540.8000000000001,21,0,0,15.428344562504208,1,13.934871074358398
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,838952,HYPERCAR-15,10,10,388,86348.17318666287,37,2569.410713843402,537.6,21,0,0,0.8650567634467734,0,-1.0265399999998408
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,838952,HYPERCAR-15,9,9,388,86322.9964443163,38,2545.081257473035,546.4000000000001,21,1,0,26.041799110011198,1,23.302916370367257
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,838952,HYPERCAR-15,7,7,388,86288.50373340571,36,2522.2142234798966,533.6,21,3,0,60.53451002060319,-1,46.16995036350545
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,838952,HYPERCAR-15,18,18,385,86340.1585655331,125,3608.3287193107035,444.00000000000006,19,-8,-3,8.879677893215558,88,-1039.9445454673014
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,486540,HYPERCAR-16,6,6,381,86350.52922525519,35,2377.841585245491,512.8000000000001,36,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,486540,HYPERCAR-16,7,7,381,86343.26782776075,36,2407.5121517998305,536.8000000000001,35,-1,0,7.261397494439734,1,-29.67056655433953
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,486540,HYPERCAR-16,9,9,381,86282.76318779225,35,2377.841585245491,488.8,35,-3,0,67.76603746293404,0,0.0
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,486540,HYPERCAR-16,6,6,381,86348.6994374808,35,2345.8082978552775,512.8000000000001,35,0,0,1.8297877743898425,0,32.033287390213445
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,486540,HYPERCAR-16,6,6,381,86350.52922525519,35,2377.841585245491,512.8000000000001,36,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,486540,HYPERCAR-16,18,18,379,86295.89650663242,105,3339.1448638469114,475.20000000000005,39,-12,-2,54.63271862277179,70,-961.3032786014205
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,432241,HYPERCAR-14,8,8,388,86335.65309330322,37,2660.110751876846,527.2,24,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,432241,HYPERCAR-14,12,12,388,86376.09280235524,38,2690.0106574279653,553.6,24,-4,0,-40.4397090520215,1,-29.899905551119446
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,432241,HYPERCAR-14,9,9,387,86178.13201122808,36,2632.635868809069,580.0,23,-1,-1,157.5210820751381,-1,27.474883067776773
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,432241,HYPERCAR-14,6,6,388,86315.3381619286,38,2637.5652618720555,531.2,24,2,0,20.314931374625303,1,22.54549000479028
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,432241,HYPERCAR-14,8,8,388,86335.65309330322,37,2660.110751876846,527.2,24,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,432241,HYPERCAR-14,16,16,386,86321.40673245852,118,3503.5679508548637,443.20000000000005,24,-8,-2,14.246360844699666,81,-843.4571989780179
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,552122,HYPERCAR-07,12,12,382,86333.64512284893,35,2601.8175509641196,470.40000000000003,35,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,552122,HYPERCAR-07,9,9,382,86329.22038669471,36,2583.1848068817962,482.40000000000003,34,3,0,4.424736154222046,1,18.63274408232337
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,552122,HYPERCAR-07,10,10,381,86202.15122177788,35,2600.8936649641196,440.8,33,2,-1,131.49390107105137,0,0.9238860000000386
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,552122,HYPERCAR-07,8,8,382,86257.12893864111,35,2537.402803773822,472.00000000000006,35,4,0,76.51618420782324,0,64.41474719029748
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,552122,HYPERCAR-07,12,12,382,86340.83094854892,35,2630.8010757169413,508.8,35,0,0,-7.18582569998398,0,-28.983524752821722
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,552122,HYPERCAR-07,15,15,381,86225.96959496486,93,3098.824983237815,453.6,37,-3,-1,107.67552788407193,58,-497.0074322736955
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,999870,HYPERCAR-11,14,14,392,86220.1084337171,38,2743.570163672895,560.8000000000001,12,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,999870,HYPERCAR-11,14,14,392,86220.1084337171,38,2743.570163672895,560.8000000000001,12,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,999870,HYPERCAR-11,11,11,393,86308.42574566808,38,2741.517083672895,543.2,14,3,1,-88.31731195097382,0,2.0530800000001364
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,999870,HYPERCAR-11,11,11,392,86173.08204827191,39,2739.1266237495797,560.0,12,3,0,47.02638544519141,1,4.443539923315257
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,999870,HYPERCAR-11,13,13,392,86193.88077842748,38,2739.9772736728946,575.2,13,1,0,26.227655289621907,0,3.5928900000003523
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,999870,HYPERCAR-11,18,18,391,86243.08875427165,97,3367.9976813209164,546.4000000000001,12,-4,-1,-22.98032055454678,59,-624.4275176480214
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,22006,HYPERCAR-09,5,5,382,86348.97534317583,35,2566.910806587064,557.6,36,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,22006,HYPERCAR-09,7,7,382,86381.92794377066,36,2599.0218807889937,572.0,36,-2,0,-32.952600594828255,1,-32.11107420192957
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,22006,HYPERCAR-09,5,5,382,86347.590260826,34,2502.7503319626658,552.0,35,0,0,1.3850823498360114,-1,64.16047462439838
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,22006,HYPERCAR-09,3,3,382,86322.89966052484,36,2543.4045653059,556.8000000000001,36,2,0,26.07568265098962,1,23.506241281163966
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,22006,HYPERCAR-09,7,7,382,86348.63885604279,34,2502.7503319626658,585.6,35,-2,0,0.33648713304137345,-1,64.16047462439838
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,22006,HYPERCAR-09,18,18,379,86170.81134951016,115,3304.1996494964483,391.20000000000005,40,-13,-3,178.16399366567202,80,-737.2888429093841
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,654215,HYPERCAR-12,5,5,356,86357.45071660126,30,2002.4725991466423,348.8,83,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,654215,HYPERCAR-12,10,10,356,86380.66672223691,34,2093.012675362011,387.20000000000005,83,-5,0,-23.216005635651527,4,-90.5400762153688
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,654215,HYPERCAR-12,7,7,356,86342.28399240592,29,1892.0908462132877,398.40000000000003,86,-2,0,15.166724195340066,-1,110.38175293335462
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,654215,HYPERCAR-12,5,5,356,86357.45071660126,30,2002.4725991466423,348.8,83,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,654215,HYPERCAR-12,5,5,356,86357.45071660126,30,2002.4725991466423,348.8,83,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,654215,HYPERCAR-12,16,16,354,86220.070851951,122,3215.5557784675734,331.20000000000005,87,-11,-2,137.37986465026916,92,-1213.083179320931
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,541577,HYPERCAR-05,9,9,378,86251.91485210034,35,2347.3377428690305,497.6,40,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,541577,HYPERCAR-05,8,8,378,86235.42382526227,38,2408.2578382175907,473.6,40,1,0,16.49102683806268,3,-60.92009534856015
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,541577,HYPERCAR-05,2,2,378,86223.23247241999,33,2204.6737315130154,438.40000000000003,40,7,0,28.682379680351005,-2,142.66401135601518
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,541577,HYPERCAR-05,8,8,378,86227.21091653321,35,2313.064738889717,497.6,40,1,0,24.70393556712952,0,34.27300397931367
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,541577,HYPERCAR-05,9,9,378,86251.91485210034,35,2347.3377428690305,497.6,40,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,541577,HYPERCAR-05,18,18,375,86213.84832888287,123,3585.831887640963,396.8,41,-9,-3,38.066523217465146,88,-1238.4941447719325
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,436123,HYPERCAR-13,7,7,385,86208.61319891477,36,2425.091139052715,556.0,28,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,436123,HYPERCAR-13,7,7,385,86197.2517362026,36,2423.354604288218,565.6,28,0,0,11.361462712171488,0,1.7365347644968097
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,436123,HYPERCAR-13,3,3,386,86300.84839308125,36,2483.939007845488,519.2,27,4,1,-92.23519416648196,0,-58.84786879277317
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,436123,HYPERCAR-13,6,6,385,86188.21847133241,36,2392.6814059360427,571.2,28,1,0,20.394727582359337,0,32.409733116672214
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,436123,HYPERCAR-13,7,7,385,86208.61319891477,36,2425.091139052715,556.0,28,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,436123,HYPERCAR-13,18,18,383,86362.98329221056,115,3532.0798408370497,479.20000000000005,28,-11,-2,-154.37009329578723,79,-1106.9887017843348
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,359372,HYPERCAR-16,3,3,378,86293.97896998496,36,2516.041298822388,455.20000000000005,40,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,359372,HYPERCAR-16,2,2,378,86227.25388168104,37,2493.0873163033416,451.20000000000005,40,1,0,66.72508830392326,1,22.95398251904635
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,359372,HYPERCAR-16,4,4,378,86451.14901553825,35,2482.6815261541237,401.6,42,-1,0,-157.17004555328458,-1,33.35977266826421
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,359372,HYPERCAR-16,3,3,378,86279.70660505288,37,2506.9078166299364,453.6,40,0,0,14.272364932083292,1,9.133482192451538
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,359372,HYPERCAR-16,3,3,378,86293.97896998496,36,2516.041298822388,455.20000000000005,40,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,359372,HYPERCAR-16,18,18,374,86297.75501834702,118,3487.919766783961,368.0,40,-15,-4,-3.7760483620513696,82,-971.8784679615733
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,340792,HYPERCAR-04,4,4,380,86206.42821775371,34,2443.9684218536786,428.00000000000006,39,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,340792,HYPERCAR-04,2,2,380,86188.70309219687,35,2444.923014109791,443.20000000000005,38,2,0,17.725125556840794,1,-0.9545922561123916
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,340792,HYPERCAR-04,4,4,380,86206.39604609244,34,2443.9684218536786,428.00000000000006,39,0,0,0.03217166126705706,0,0.0
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,340792,HYPERCAR-04,4,4,380,86177.55442416485,34,2413.8335110044786,432.8,39,0,0,28.87379358886392,0,30.13491084919997
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,340792,HYPERCAR-04,4,4,380,86206.42821775371,34,2443.9684218536786,428.00000000000006,39,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,340792,HYPERCAR-04,18,18,376,86348.63967993295,113,3403.534695809274,438.40000000000003,39,-14,-4,-142.21146217924252,79,-959.5662739555955
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,594289,HYPERCAR-08,4,4,385,86279.54958551472,36,2522.0033433147023,491.20000000000005,32,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,594289,HYPERCAR-08,4,4,384,86238.49803545768,37,2519.6087686753667,463.20000000000005,31,0,-1,41.05155005703273,1,2.3945746393355876
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,594289,HYPERCAR-08,1,1,385,86238.28452547129,35,2466.284393117997,457.6,32,3,0,41.26506004342809,-1,55.718950196705464
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,594289,HYPERCAR-08,1,1,385,86215.46362168468,36,2462.7651086361966,476.8,32,3,0,64.08596383003169,0,59.238234678505705
